-able	 V. -ble.
-azgo	Del ant. -adgo, y este del lat. -atĭcus, -atĭcum. 1. suf. Forma sustantivos que designan dignidad o cargo. Almirantazgo, arciprestazgo. 2. suf. Indica condición o estado. Noviazgo. 3. suf. Señala tributo. Almojarifazgo. 4. suf. Indica acción y efecto. Hallazgo, hartazgo.
-azo	za  1. suf. Tiene valor aumentativo. Perrazo, manaza. 2. suf. Expresa sentido despectivo. Aceitazo. 3. suf. Expresa sentido ponderativo. Golazo, cuerpazo. 4. suf. Tiene valor afectivo. Padrazo. 5. suf. A veces significa golpe dado con lo designado por la base derivativa. Porrazo, almohadillazo. 6. suf. En algún caso, señala el golpe dado en lo significado por la base derivativa. Espaldarazo.
-azón	Del lat. -atio, -ōnis. 1. suf. Forma sustantivos derivados de verbos de la primera conjugación, que significan acción y efecto, a veces con cierto valor intensivo. Hinchazón, picazón, granazón. 2. suf. Indica el tiempo en que se realiza la acción expresada por el verbo del que deriva. Rodrigazón. 3. suf. Señala el conjunto de los objetos que constituyen un todo. Esquifazón, clavazón.
-año	ña  Del lat. -aneus. 1. suf. Forma sustantivos y adjetivos procedentes del latín. Soterraño, extraño, entraña. 2. suf. En español ha formado algunos sustantivos deverbales o derivados de sustantivos. Travesaño, espadaña.
-bilidad	 V. -dad.
-bilísimo	ma  V. -ísimo.
-ble	Del lat. -bĭlis. 1. suf. Forma adjetivos casi siempre deverbales. Indica posibilidad pasiva, es decir, capacidad o aptitud para recibir la acción del verbo. Si el verbo es de la primera conjugación, el sufijo toma la forma -able. Prorrogable. Si es de la segunda o tercera, toma la forma -ible. Reconocible, distinguible. Los derivados de verbos intransitivos o de sustantivos suelen tener valor activo. Agradable, servible.
-cefalia	Del lat. cient. -cephalia, y este del gr. κεφαλή kephalḗ 'cabeza' e -ία -ía '-ia'. 1. elem. compos. Indica estado o cualidad de la cabeza. Dolicocefalia, mesocefalia.
-cer	 V. -ecer.
-cete	ta  V. -ete.
-cico	ca  V. -ico.
-cida	Del lat. -cīda, de la raíz de caedĕre 'matar'. 1. elem. compos. Significa 'matador' o 'exterminador'. Herbicida, insecticida.
-cidio	Del lat. -cidium, de la raíz de caedĕre 'matar'. 1. elem. compos. Significa 'acción de matar'. Filicidio, suicidio.
-cillo	lla  V. -illo.
-ción	Del lat. -tio, -ōnis. 1. suf. Forma sustantivos deverbales que expresan acción y efecto. Aparece en la forma -ción, no precedido de vocal, en ciertos sustantivos generalmente procedentes del latín. Función, lección, producción. Los creados en español toman la forma -ación, si el verbo del que derivan es de la primera conjugación. Grabación; -ición, si es de la tercera. Embutición. Si el sustantivo deriva de un verbo de la segunda, toma otro sufijo. 2. suf. Además de su significado abstracto, -ción y sus variantes pueden denotar objeto, lugar, etc. Embarcación, fundición.
-cola	Del lat. -cŏla, de la raíz de colĕre 'cultivar', 'habitar'. 1. elem. compos. Significa 'que cultiva o cría' o 'que habita en'. Avícola, frutícola, arborícola, cavernícola.
-cracia	Del gr. -κρατία -kratía, de la raíz de κράτος krátos 'fuerza'. 1. elem. compos. Significa 'gobierno', 'dominio' o 'poder'. Gerontocracia, talasocracia.
-crata	Quizá del fr. -crate, y este del gr. -κρατής -kratḗs o -κράτης -krátēs, de la raíz de κράτος krátos 'fuerza'; en la acentuación esdrújula española influyeron ciertos nombres propios latinos como Aristocrătes 'Aristócrates' o Democrătes 'Demócrates'. 1. elem. compos. Significa 'partidario o miembro de un Gobierno o un poder'. Gerontócrata, eurócrata.
-cultor	ra Del lat. -cultor, der. de colĕre 'cultivar', 'cuidar'. 1. elem. compos. Significa 'que cultiva, que cría'. Apicultor, horticultora.
-cultura	Del lat. cultūra. 1. elem. compos. Significa 'cultivo, crianza'. Horticultura, puericultura.
-céfala	 V. -céfalo.
-dad	Del lat. -tas, -ātis. 1. suf. Significa 'cualidad' en sustantivos abstractos derivados de adjetivos. Si el adjetivo base es bisílabo, suele tomar la forma -edad. Mocedad, cortedad, terquedad. También la toman los adjetivos terminados en -io. Suciedad, obligatoriedad, precariedad. Si el adjetivo es de más de dos sílabas, toma, en general, la forma -idad. Barbaridad, afectuosidad, efectividad. La forma -dad aparece solo detrás de l o n. Liviandad, maldad, ruindad. Cuando -dad se aplica a adjetivos deverbales en -ble, se forman derivados terminados en -bilidad. Culpabilidad.
-dera	 V. -dero.
-dermia	Del gr. -δερμία -dermía, der. de δέρμα, -ατος dérma, -atos. 1. elem. compos. Significa 'piel'. Taxidermia.
-dero	ra  Del lat. -torius y -tarius. 1. suf. Forma sustantivos y adjetivos deverbales. Aparece en las formas -adero, -edero, -idero, según que el verbo base sea de la primera, segunda o tercera conjugación. Salpicadero, tendedero, venidero. 2. suf. En los adjetivos significa 'posibilidad' y, a veces, 'necesidad'. Casadero, duradero, perecedero, venidero, hacedero. 3. suf. En los sustantivos significa, por lo común, y preferentemente en forma masculina, 'lugar donde se realiza la acción significada por el verbo base'. Abrevadero, burladero, matadero, vertedero. 4. suf. Significa 'instrumento', generalmente en sustantivos femeninos. Podadera, regadera, lanzadera, prendedero. 5. suf. En femenino singular, forma sustantivos, especialmente frecuentes en América, que significan 'acción reiterada'. Acechadera, asomadera, gritadera, preguntadera. 6. suf. En la forma femenina plural, denota, a veces, 'capacidad'. Entendederas, despachaderas.
-dor	ra Del lat. -tor, -ōris. 1. suf. Forma adjetivos y sustantivos deverbales. Aparece en las formas -ador, -edor, -idor, según que el verbo base sea de la primera, segunda o tercera conjugación. Señala el agente. Organizador, ensordecedor, encubridor. 2. suf. Indica instrumento. Trituradora, climatizador, prendedor, calculadora, acelerador. 3. suf. Señala lugar. Comedor, cenador. 4. suf. U. para formar derivados de sustantivos. Aguador, leñador, viñador.
-dura	Del lat. -tūra. 1. suf. Forma sustantivos deverbales. Toma las formas -adura, -edura o -idura, según que el verbo base sea de la primera, segunda o tercera conjugación. Significa 'acción y efecto'. Salpicadura, soldadura, torcedura, mordedura, añadidura, hendidura. 2. suf. Denota el medio o instrumento de la acción. Cerradura. 3. suf. Designa un conjunto. Arboladura.
-ear	Del lat. vulg. -idiāre, y este del gr. -ίζειν -ízein '-izar'. 1. suf. Forma verbos derivados de sustantivos o adjetivos, rara vez de pronombres. Humear, falsear, tutear.
-ececico	ca  V. -ico.
-ececillo	lla  V. -illo.
-ececito	ta  V. -ito^3.
-ecer	Del lat. -escĕre. 1. suf. En verbos derivados de adjetivos o de sustantivos, denota acción incoativa, transformación o cambio de estado. Entristecer, amanecer.
-ecezuelo	la  V. -uelo.
-ecico	ca  V. -ico.
-ecillo	lla  V. -illo.
-ecito	ta  V. -ito^3.
-eco	ca 1. suf. Forma gentilicios, especialmente relacionados con topónimos mexicanos y centroamericanos.
-ectomía	Del lat. cient. -ectomia, y este del gr. ἐκτομή ektomḗ y el lat. cient. -ia '-ia'. 1. elem. compos. Med. Significa 'escisión' o 'ablación quirúrgica'. Histerectomía.
-eda	 V. -edo.
-edad	 V. -dad.
-edal	 V. -edo.
-edero	ra  V. -dero.
-edo	da  Del lat. -ētum; la forma f., de -ēta, pl. de -ētum. 1. suf. Forma sustantivos colectivos, en general derivados de nombres de árboles o plantas, y designa el lugar en que abunda el primitivo. Rosaleda, avellaneda. Puede combinarse con -al. Robledal, nocedal. Denotando abundancia, se combina con -ar. Polvareda, humareda.
-edor	ra  V. -dor.
-edura	 V. -dura.
-ego	ga  V. -iego.
-eja	 V. -ejo.
-ejo	ja  Del lat. -icŭlus. 1. suf. Tiene valor diminutivo y despectivo, en sustantivos y adjetivos. Animalejo, diablejo, medianejo. En algunas palabras no se conserva el valor diminutivo o despectivo. Festejo.
-ejón	 V. -ón^1.
-ela	 V. -elo.
-elo	la  Del lat. -ellus. 1. suf. U. en sustantivos, originariamente con valor diminutivo. Bastardelo.
-ema	 V. -ma.
-emia	Del lat. cient. -aemia, y este del gr. -αιμία -aimía, der. de αἷμα haîma 'sangre'. 1. elem. compos. Med. Indica 'presencia anormal en la sangre'. Alcoholemia, glucemia.
-ena	 V. -eno.
-encia	 V. -ncia.
-enco	ca Cf. germ. *-ing. 1. suf. U. en gentilicios y otros adjetivos que significan 'pertenencia', 'relación' o 'semejanza'. Ibicenco, pastenco, azulenco. U. t. en sent. despect. Zopenco, zullenco.
-enga	 V. -engo.
-engo	ga  Cf. germ. *-ing. 1. suf. Forma adjetivos que indican 'pertenencia o relación'. Abadengo, frailengo, realengo. 2. suf. Forma adjetivos que expresan 'cualidad'. 3. suf. Forma también algún sustantivo. Abolengo.
-eno	na  Del lat. -ēnus. 1. suf. En adjetivos indica procedencia, pertenencia o relación. Agareno, nacianceno, nazareno, chileno. 2. suf. Expresa semejanza. Moreno. 3. suf. Forma también numerales ordinales. Noveno, treinteno, cincuenteno. 4. suf. Con la terminación femenina, forma sustantivos colectivos. Decena, docena, quincena. 5. suf. Quím. Designa carburos de hidrógeno. Acetileno.
-ense	Del lat. -ensis. 1. suf. En gentilicios y otros adjetivos de resonancias latinas, significa 'relación' o 'pertenencia'. Abulense, estadounidense, matritense, forense, castrense. A veces toma la forma -iense. Canadiense, parisiense.
-ente	Del lat. -ens, -entis. V. -nte.
-ento	ta 1. suf. En adjetivos, indica estado físico o condición. Aparece más frecuentemente en la forma -iento. Calenturiento, mugriento, hambriento, sangriento, avariento. 2. suf. En adjetivos, denota aproximación o semejanza. Amarillento.
-eo^1	1. suf. En sustantivos derivados de verbos en -ear, significa 'acción y efecto'. Coqueteo, veraneo, paseo, goteo.
-eo^2	a Del lat. -aeus, -eius, -ēus. 1. suf. En adjetivos cultos, en su mayoría heredados del latín, pero también en otros formados en español, generalmente indica relación o pertenencia. Giganteo, sabeo, pegaseo, cibeleo, gencianeo.
-era	 Del lat. -aria. 1. suf. En sustantivos femeninos señala el sitio u objeto en que hay, está, abunda, se cría, se deposita, se produce o se guarda lo designado por el primitivo. Chopera, gusanera, leonera, escombrera, cantera, aceitera. 2. suf. Indica objeto o lugar destinado a lo que designa la base. Bañera, reguera. 3. suf. Indica árbol o planta que produce lo significado por la base. Higuera, morera, esparraguera. 4. suf. Señala defecto o estado físico. Cojera, cansera, borrachera, sordera.
-erio	1. suf. En sustantivos deverbales, indica acción o efecto. Sahumerio. 2. suf. Señala situación o estado. Cautiverio. 3. suf. Indica lugar. Beaterio.
-ero	ra  Del lat. -arius. 1. suf. En sustantivos, indica oficio, ocupación, profesión o cargo. Ingeniero, jornalero, librero. 2. suf. Forma derivados que designan utensilios o muebles. Billetero, perchero, llavero. 3. suf. Significa lugar donde abunda o se deposita algo. Hormiguero, basurero. 4. suf. Se refiere a árboles frutales. Albaricoquero, melocotonero, membrillero. 5. suf. En adjetivos significa, en general, carácter o condición moral. Altanero, embustero, traicionero.
-ería^1	 V. -ía.
-ería^2	 1. suf. En sustantivos no heredados del latín, significa pluralidad o colectividad. Morería, palabrería, chiquillería. 2. suf. Indica condición moral, casi siempre de signo peyorativo. Holgazanería, pedantería, ramplonería. 3. suf. Señala oficio o local donde se ejerce. Conserjería, fumistería, sastrería. 4. suf. Significa acción o dicho. Niñería, pillería, tontería, cacería.
-esa	 Del lat. -issa. 1. suf. Aparece en algunos sustantivos femeninos de cargo o dignidad. Alcaldesa, de alcalde; baronesa, de barón; duquesa, de duque.
-esco	ca  V. -sco.
-esis	 V. -sis.
-eta	 V. -ete.
-ete	ta  Del fr. -et; la forma f., de -ette. 1. suf. U. para formar diminutivos, despectivos u otras palabras de valor afectivo, a veces de manera no muy explícita, a partir de adjetivos y sustantivos. Regordete, calvete, vejete, amiguete, caballerete. Muchas palabras han perdido esos valores. Peseta, juguete. No pocos sustantivos vienen directamente del francés. Bonete, florete, ribete. En ciertos casos, toma la forma -cete. Meloncete.
-eto	Del it. -etto. 1. suf. En sustantivos y adjetivos, tiene valor diminutivo en su origen. Canaleto, narigueto.
-etón	 V. -ón^1.
-ez	1. suf. En sustantivos abstractos femeninos, indica la cualidad expresada por el adjetivo del que deriva. Altivez, brillantez, lucidez.
-eza	1. suf. En sustantivos abstractos femeninos, indica la cualidad expresada por el adjetivo del que deriva. Aspereza, belleza, limpieza.
-ezno	na Del lat. -icĭnus. 1. suf. Se aplica a nombres de animales para construir otros sustantivos, frecuentemente con valor diminutivo, que designan la cría. Lobezno, osezno, pavezno. 2. suf. Forma algún adjetivo con idea de pertenencia o relación. Viborezno.
-ezuelo	la  V. -uelo.
-eña	 V. -eño.
-eño	ña  Del lat. -ineus. 1. suf. En algunos adjetivos y sustantivos significa 'hecho de'. Barreño, madreña, estopeño. 2. suf. Forma gentilicios. Brasileño, malagueño, isleño. 3. suf. Significa 'perteneciente a' o 'relacionado con'. Navideño, ribereño, abrileño. 4. suf. Significa 'semejante a'. Aguileño, trigueño.
-fagia	Del lat. -phagĭa, y este del gr. -φαγία -phagía. 1. elem. compos. Designa la acción de comer o de tragar. Aerofagia, disfagia.
-fero	ra Del lat. -fer, -ĕri, de la raíz de ferre 'llevar'. 1. elem. compos. Significa 'que lleva, contiene o produce'. Mamífero, sanguífero.
-ficar	Del lat. -ficāre, de la raíz de facĕre 'hacer'. 1. elem. compos. Forma verbos, que significan 'hacer, convertir en, producir'. Petrificar, codificar.
-fico	ca Del lat. -fĭcus, de la raíz de facĕre 'hacer'. 1. elem. compos. Suele significar 'que hace, produce o convierte en'. Lapidífico.
-filia	Del gr. φιλία philía 'amistad'. 1. elem. compos. Significa 'afición, simpatía o tendencia'. Bibliofilia, anglofilia, hemofilia.
-fobia	Del lat. cient. -phobia, y este del gr. -φοβία -phobía. 1. elem. compos. Significa 'aversión' o 'rechazo'. Xenofobia, hidrofobia.
-fobo	ba Del gr. -φόβος -phóbos. 1. elem. compos. Significa 'que siente horror o repulsión'. Xenófobo, fotófobo.
-forme	Del lat. -formis, de la raíz de forma. 1. elem. compos. Significa 'en forma de'. Arboriforme, campaniforme, vermiforme.
-foro	ra Del gr. -φόρος -phóros, de la raíz de φέρειν phérein 'llevar'. 1. elem. compos. Significa 'que lleva'. Semáforo, necróforo.
-fugo	ga Del lat. -fŭgus, de la raíz de fugāre o fugĕre. 1. elem. compos. Significa 'que ahuyenta' o 'que huye de'. Centrífugo, febrífugo.
-gamia	Del gr. -γαμία -gamía. 1. elem. compos. Aporta el significado de 'unión'. Endogamia, poligamia.
-genia	Del fr. -génie, y este del gr. -γένεια -géneia. 1. elem. compos. Significa 'origen' o 'proceso de formación'. Orogenia, patogenia.
-geno	na Del fr. -gène, y este del gr. -γενής -genḗs, infl. en su forma por el lat. -gĕnus. 1. elem. compos. Significa 'que genera o produce' o 'que es producido'. Lacrimógeno, patógeno, endógeno.
-gono	na Del gr. -γωνος -gōnos, de la raíz de γωνία gōnía 'ángulo'. 1. elem. compos. Significa 'ángulo'. Isógono, nonágono.
-grado	Del lat. -grădus. 1. elem. compos. Significa 'que anda', 'que marcha'. Plantígrado, saltígrado.
-grafo	fa Del gr. -γράφος -gráphos, de la raíz de γράφειν gráphein 'escribir'. 1. elem. compos. Significa 'que escribe' o 'que describe'. Mecanógrafo, telégrafo, bolígrafo, hidrógrafo.
-grafía	Del gr. -γραφία -graphía, de la raíz de γράφειν gráphein 'escribir'. 1. elem. compos. Significa 'descripción', 'tratado', 'escritura' o 'representación gráfica'. Monografía, mecanografía.
-grama	Del gr. γράμμα grámma 'letra', 'escrito'. 1. elem. compos. Significa 'escrito' o 'gráfico'. Cablegrama, cardiograma, epigrama.
-génico	ca Del fr. -génique, y este de -gène '‒́geno' e -ique '‒́ico'. 1. elem. compos. Significa 'que genera o produce' o 'que es producido'. Alergénico, iatrogénico.
-génito	ta Del lat. genĭtus. 1. elem. compos. Significa 'nacido', 'engendrado'. Primogénito, unigénito.
-huelo	la  V. -uelo.
-hídrico	De hidro- e ‒́ico. 1. elem. compos. Adoptado por convenio en la nomenclatura química, designa los ácidos que no contienen oxígeno, como el clorhídrico o el sulfhídrico.
-ia	 Del lat. -ia. 1. suf. Aparece en sustantivos femeninos, generalmente abstractos, en su mayoría heredados del latín. Vigilia, eficacia, ignominia. 2. suf. Aparece en nombres de ciudades, territorios y naciones. Murcia, Alcarria, Australia, Suecia.
-iano	na  V. -ano^1.
-iatría	Del gr. ἰατρεία iatreía 'curación'. 1. elem. compos. Significa 'parte de la medicina que estudia la curación de'. Pediatría, psiquiatría.
-ible	 V. -ble.
-ica	 1. suf. de adjetivos. Tiene valor iterativo y despectivo. Acusica, llorica, quejica.
-ichuelo	la  V. -uelo.
-icio	cia Del lat. -itius o -icius. 1. suf. Aparece en adjetivos. Suele significar 'perteneciente a' o 'relacionado con'. Alimenticio, cardenalicio, catedralicio. 2. suf. Aparece en algunos sustantivos con el significado de 'acción intensa o insistente'. Bullicio, estropicio.
-ición	 V. -ción.
-ico	ca  1. suf. And., Ar., Mur., Nav., Col., C. Rica, Cuba y Ven. Tiene valor diminutivo o afectivo. Ratico, pequeñica, hermanico. A veces, toma las formas -ececico, -ecico, -cico. Piececico, huevecico, resplandorcico. En Colombia, Costa Rica, Cuba y Venezuela, solo se une a radicales que terminan en -t. Gatico, patica. Muchas veces se combina con el sufijo -ito^3. Ahoritica, poquitico.
-icón	na 1. suf. A veces tiene valor entre aumentativo y despectivo. Meticón, mojicón.
-ida	 1. suf. Forma sustantivos derivados de verbos de la segunda y tercera conjugación, que generalmente significan 'acción y efecto'. Acogida, acometida, partida, sacudida.
-idad	 V. -dad.
-idero	ra  V. -dero.
-ido	da  1. suf. Aparece en adjetivos y sustantivos derivados de sustantivos y verbos de la segunda o de la tercera conjugación. Forma adjetivos de cualidad. Dolorido, sufrido, florido. 2. suf. Forma sustantivos que significan sonidos. Balido, bufido, estallido, crujido.
-idor	ra  V. -dor.
-idura	 V. -dura.
-iego	ga 1. suf. Forma adjetivos, y a veces toma la forma -ego. Suele indicar relación, pertenencia u origen. Andariego, mujeriego, pasiego, veraniego, manchego. 2. suf. Ambas formas pueden aparecer también en algún sustantivo. Labriego, borrego.
-iense	 V. -ense.
-iente	Del lat. -ens, -entis. V. -nte.
-iento	ta  V. -ento.
-ija	Del lat. -icŭla. 1. suf. Forma sustantivos femeninos, con frecuencia diminutivos, a veces despectivos. Baratija, lagartija.
-ijo	Del lat. -icŭlus. 1. suf. U. para formar nombres de instrumentos, lugares y objetos, a veces con valor diminutivo o despectivo, a partir de verbos y de participios. Amasijo, acertijo, revoltijo, atadijo.
-ijón	na 1. suf. Forma sustantivos y adjetivos, con matiz aumentativo o despectivo. Torcijón, metijona, serrijón.
-il	Del lat. -īlis. 1. suf. Forma adjetivos, que suelen indicar relación o pertenencia. Varonil, estudiantil, pastoril. 2. suf. Forma sustantivos, que tienen a veces valor diminutivo. Fogaril, ministril, tamboril.
-illa	 V. -illo.
-illo	lla  1. suf. Tiene valor diminutivo o afectivo. Arbolillo, librillo, guapillo, mentirosilla. Aunque no todos los sustantivos formados con este sufijo tienen auténtico valor diminutivo, suelen aproximarse a él: p. ej., organillo con relación a órgano; molinillo con relación a molino; camilla con relación a cama , etc. A veces, toma las formas -ecillo, -ececillo, -cillo. Panecillo, piececillo, amorcillo.
-ilo	Del fr. -yle, este del al. -yl, y este del gr. ὕλη hýlē 'madera', 'materia'. 1. suf. Designa un radical químico. Acetilo, acilo, etilo.
-imento	 V. -mento.
-imiento	 V. -miento.
-ina	 Del lat. -īna. 1. suf. Forma sustantivos femeninos que indican acción súbita y violenta. Cachetina, degollina, escabechina, regañina. 2. suf. Forma nombres de árboles o plantas. Glicina, ambarina. 3. suf. Forma nombres de frutos. Acebuchina, agracejina. 4. suf. Forma sustantivos de carácter diminutivo. Culebrina. 5. suf. En química, indica sustancia relacionada con lo denotado por el elemento principal de la palabra. Adrenalina, cocaína, morfina, cafeína.
-inga	 V. -ingo.
-ingo	ga  1. suf. Bol. U., pospuesto a sustantivos y adjetivos, con valor diminutivo o afectivo. Plantinga, bonitinga.
-ino	na  Del lat. -īnus o -ĭnus, lat. vulg. -īnus. 1. suf. En adjetivos, indica pertenencia o relación. Cervantino, palatino. 2. suf. Designa materia o semejanza. Alabastrino, diamantino. 3. suf. Forma gentilicios. Alicantino, ginebrino. 4. suf. En los sustantivos suele tener valor diminutivo. Cigoñino, palomino, cebollino. 5. suf. A veces se combina con -és. Campesino, montesino.
-io	ia  Del lat. -ius, o -ium, o -ĭdus, o -eus. 1. suf. Forma adjetivos y sustantivos, en su mayoría procedentes del latín; algunos pueden ser de creación española. Agrio, bodrio, barrio, sitio. 2. suf. En química, u. para designar elementos. Bario, calcio, sodio, silicio.
-iondo	da 1. suf. Forma adjetivos con el significado de 'en celo'. Moriondo, toriondo, verriondo.
-isco	ca  V. -sco.
